Ano da propositura;Ind. Motivo;Ind. Endereço;Ind. Bairro;Nome;Partido
2008;MANUTENÇÃO E REFORMA DE BOCA D ELOBO;RUA CASSURINAS;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO DE ILUMINAÇÃO PÚBLICA;RUA CANATIAR;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E RECOLOCAÇÃO DE GUIA E SARJETA;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS SARJETÃO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;AV MARIO PERNANBUCO;VILANOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA D ELOBO OU BUEIRO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA D ELOBO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;LIMPEZA PÚBLICA;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;CAPINAGEM EM CALÇADAS;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO OU REAEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL.;PÇA RENÊ BARRETO;LAPA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;PODA DE ÁRVORE;RUA JACOB MARIS;INSTITUO PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;PODA DE ÁRVORE;RUA MANOEL GONÇALVES MÃO CHEIA;INSTITUTO DE PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;NIVELAMENTO DE CAIXA DE VISITA OU POÇO DE VISITA;RUA MANOEL GONÇALVES MÃO CHEIA;INSTITUTO DE PREVID~ENCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO;RUA MANOEL GONÇALVES MÃO CHEIA;INSTITUTO DE PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA MANOEL GONÇALVES MÃO CHEIA X RUA GERALDONOGUEIRA COBRA;INSTITUTO DE PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA MANOEL GONÇALVES MÃO CHEIA X RUA GERALDONOGUEIRA COBRA;INSTITUTO DE PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
