;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último);Latitude;Longitude
3442;IND;;375;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA PÚBLICA, AS QUINTA-FEIRAS NO PERÍODO DA TARDE, LOCAL: LARGO SANTA CECÍLIA.;;LIMPEZA PUBLICASANTA CECILIA;SANTA CECILIA, LG.;AR-SE;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.53912;-46.64998
3443;IND;;376;1993;AO SR. PREFEITO ASSUNTO: REDUTORES DE VELOCIDADE, LOCAL: RUA ANTONIO NUNES DE AZEVEDO, 102 JD. IRAPIRANGA CAMPO LIMPO.;;REDUTOR DE VELOCIDADE;ANTONIO NUNES DE AZEVEDO, R.;AR-CL;JARDIM IRAPIRANGA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.66257;-46.78993
3444;IND;;377;1993;AO SR. PREFEITO ASSUNTO: ESCADA LIGANDO A RUA ANTÔNIO NUNES DE AZEVEDO À RUA C, LOCAL: RUA ANTÔNIO NUNES DE AZEVEDO, 102, BAIRRO: JD. IRAPIRANGA - CAMPO LIMPO.;;ESCADARIA;ANTONIO NUNES DE AZEVEDO, R.C, R. (JARDIM IRAPIRANGA);AR-CL;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.66257;-46.78993
3445;IND;;378;1993;À SABESP ASSUNTO: PROVIDÊNCIAS NO SENTIDO DE RESOLVER PROBLEMA DE VAZAMENTO CONSTANTE E PERMAMENTE NA ENTRADA DO IMOVEL DE 660 DA RUA CHAMANTÁ, BAIRRO DO PARQUE DA MOÓCA.;;MANUTENCAO DE REDE DE AGUASABESP;CHAMANTA, R.;;PARQUE DA MOOCA;ARCHIBALDO FENICIO ZANCRA;PARTIDO LIBERAL;-23.58082;-46.59037
3446;IND;;379;1993;AO SR. PREFEITO ASSUNTO: REPLANTIU DE ÀRVORES E GRAMA EM ENTRA DA DE IMÓVEL DA MUNICIPALIDADE, LOCAL: PRAÇA E TERRENO EXISTENTES ENTRE OS NÚMEROS 687 E 787 DA AV. MERCEDES, BAIRRO: ALTO DA LAPA.;;ARBORIZACAO/IMOVEL MUNICIPALGRAMA;MERCEDES, AV.;;ALTO DA LAPA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.52237;-46.7126
3447;IND;;380;1993;AO SR. PREFEITO ASSUNTO: LIMPAR AS BOCAS DE LOBO E PODAR OS GALHOS DAS ÁRVORES QUE ESTÃO ATRAPALHANDO OS FIOS DE ÔNIBUS ELÉTRICOS, LOCAL: AV. LINEU DE PAULA MACHADO, BAIRRO: PINHEIROS.;;LIMPEZA DE BOCA DE LOBOPODA DE ARVORE;LINEU DE PAULA MACHADO, AV.;AR-BT;CIDADE JARDIM;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.57701;-46.70205
3448;IND;;381;1993;AO SR. PREFEITO ASSUNTO: HIGIENIZAÇÃO E CONSERVAÇÃO DA ESCOLA MUNICIPAL DESEMBARGADOR THEODOMIRO DIAS, LOCAL: PRAÇA DR. JOSÉ ÓRIA, BAIRRO: VILA SÔNIA.;;LIMPEZA DE ESCOLA;EMPG DES. TEODOMIRO DIASJOSE ORIA, DR., PC.;AR-BT;VILA SONIA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;None;None
3449;IND;;382;1993;AO SR. PREFEITO ASSUNTO: PAVIMENTAÇÃO DO PÁTIO, TLOCAL: TRAVESSA DA RUA DONA BRÍGIDA, BAIRRO: VILA MARIANA.;;PAVIMENTACAOVILA RESIDENCIAL;BRIGIDA, DONA, R.;AR-VM;VILA MARIANA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.58494;-46.63001
3450;IND;;383;1993;AO SR. PREFEITO ASSUNTO: VARRIÇÃO DE VIAS PÚBLICAS, LOCAL: RUAS MONSENHOR ANACLETO, CARNEIRO LEÃO, MARIA DOMITILA SOBRAL E ANDRÉ SCOPETTA, BAIRRO. BRÁS.;;BRASVARRICAO;ANACLETO, MONS., R.CARNEIRO LEAO, R.MARIA DOMITILA, R.;;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;None;None
3451;IND;;384;1993;SAO SR. PREFEITO _ ASSUNTO: RECAPEAMENTO DE VIA PÚBLICA, LOCAL: RUA JESUINO ARRUDA DO NO. 650 AO 800, BAIRRO: PINHEIROS.;;ITAIM BIBIPAVIMENTACAO;JESUINO ARRUDA, R.;AR-PI;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.58146;-46.6724699
3452;IND;;385;1993;AO SR. PREFEITO ASSUNTO: MUDANÇA DE TERMINAL DE ÔNIBUS AEROPOR TO LARGO GENERAL OSÓRIO, DA RUA DOS ANDRADES PARA A PRAÇA JÚLIO PRESTES, LOCAL: LARGO GENERAL OSÓRIO, BAIRRO: CENTRO.;;PONTO DE ONIBUSZONA CENTRAL;ANDRADAS, R. DOSOSORIO, GEN., LG.;AR-SE;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.53748;-46.63868
3453;IND;;386;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE PASSARELA, LOCAL: AVENI DA CONDESSA ELIZABETH DE RIBIANO, ESQUINA COM A RUA SÃO JORGE, EM FRENTEAOS PÇORTÕES DO ESTÁDIO SPORT CLUB CORINTHIANS PAULISTA, BAIRRO: DA PENHA.;;ESTADIO/SPORT CLUB CORINTHIANS PAULISTAPASSARELA;ELISABETH DE ROBIANO, CDSSA., AV.SAO JORGE, R.;;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.5275399;-46.56771
3454;IND;;387;1993;AO SR. PREFEITO ASSUNTO: PAVIMENTAÇÃO LOCAL: RUA JOÃO FELIPE, ENTRE AS RUAS BÁCIO DE FILICARA E ANTONIO FRANÇA, BAIRRO: PARQUE FIGUEIRA GRANDE.;;PAVIMENTACAO;JOAO FELIPE, R.;AR-CL;PARQUE FIGUEIRA GRANDE;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.67849;-46.74632
3455;IND;;388;1993;ASO SR. PREFEITO ASSUNTO: PODA DE ÁRVORE, NA ESQUINA DA ALAMEDA CASA BRANCA COM ALAMEDA LORENA, LOCAL: JARDIM PAULISTA.;;PODA DE ARVORE;CASA BRANCA, AL.LORENA, AL.;AR-PI;JARDIM PAULISTA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.5661999;-46.66015
3456;IND;;389;1993;AO SR.PREFEITO ASSUNTO:REFAZER AS CALÇADAS DAS RUAS OSCAR FREIRE E AL. LORENA NO TRECHO COMPREENDIDO NA RUA AUGUSTA, HADDOCK LOBO E PADRE JOÃO MANOEL, BAIRRO: CERQUEIRA CÉSAR.;;CALCADACERQUEIRA CESAR;HADDOCK LOBO, R.LORENA, AL.OSCAR FREIRE, R.;;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.55916;-46.6629999
3457;IND;;390;1993;AO SR. PREFEITO ASSUNTO: REPARO NO RESTANTE DAS LONHAS AO LONGO DA AV. PROFESSOR FRANCISCO MORATO, LOCAL: AV. PROFESSOR FRANCISCO MORATO,BAIRRO: BUTANTÃ.;;BUTANTA/SINALIZACAO DE TRANSITOLINHA DE FAIXA DE TRANSITO;FRANCISCO MORATO, PROF., AV.;AR-BT;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.60286;-46.7444
3458;IND;;391;1993;AO SR. PREFEITO ASSUNTO: PODA DE MATO, LIMPEZA E DESRATIZAÇÃO DA PRAÇA DR. JOSÉ ÓRIA, BAIRRO: BUTANTA.;;CAPINADESRATIZACAO;JOSE ORIA, DR., PC.;AR-BT;VILA SONIA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.5949199;-46.73165
3459;IND;;392;1993;AO SR. PREFEITO ASSUNTO:REFAZER TODAS AS CALÇADAS DA RUA PEDROSO ALVARENGA QUE LIGA A AV. SÃO GABRIEL COM A RUA IGUATEMI.;;CALCADAITAIM BIBI;PEDROSO ALVARENGA, R.SAO GABRIEL, AV.;AR-PI;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.58158;-46.67754
