;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
841;IND;;2356;1991;À SABESP, SOLUCIONAR OS PROBLEMAS QUE LEVAM À CONSTANTES FALTA DE ÁGUA, AFORA O RACIONAMENTO NORMAL DE DOIS DIAS POR SEMANA, NA VILA NATÁLIA.;;ABASTECIMENTO DE AGUASABESP;;AR-IP;VILA NATALIA;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
873;IND;;2388;1991;À SRA. PREFEITA ASSUNTO: PEDIDO DE UMA PONTE LIGANDO JD.CAMARGO NOVO COM O JD. DAS OLIVEIRAS, LOCAL: JD. CAMARGO NOVO AO JD. DAS OLIVEIRAS, BAIRRO: ITAIM PAULISTA.;;JARDIM CAMARGO NOVO/PONTEITAIM PAULISTA;;AR-MP;JARDIM DAS OLIVEIRAS (AR-;ALBERTINO ALVES NOBRE;PARTIDO TRABALHISTA BRASILEIRO
1001;IND;;2516;1991;À SABESP CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO, PROVIDÊNCIAS URGENTES NO SENTIDO DE AGILIZAR O PROLONGAMENTO DA REDE DE ÁGUA PARA A VIELA PARTICULAR,BAIRRO: JARDIM MARJONEL.;;ABASTECIMENTO DE AGUA/REDE DE AGUASABESP;;;JARDIM MARJONEL;LUIZ PAULO GNECCO;PARTIDO COMUNISTA BRASILEIRO
1014;IND;;2529;1991;À SRA. PREFEITA ASSUNTO: PROLONGAMENTO DE LINHA DE ÔNIBUS, LOCAL: LINHA 9034 LAPA MORRO GRANDE ATÉ VILA IARA, BAIRRO: VILA IARA AR/LAPA.;;ITINERARIO DE ONIBUS/TRANSPORTE COLETIVO URBANOLINHA DE ONIBUS 9034;;;VILA IARA;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
1061;IND;;2576;1991;À SRA. PREFEITA ASSUNTO: ILUMINAÇÃO PÚBLICA, LOCAL:RUA ICOUARA, VILA SANTA TEREZINHA AR/IQ.;;ILUMINACAO PUBLICAICOUARA,R.;;AR-IQ;VILA SANTA TERESINHA (AR-;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
1105;IND;;2620;1991;SRA. PREFEITA ESCOLA DE 1O. GRAUE UMA CRECHE.;;ESCOLA MUNICIPAL DE PRIMEIRO GRAUCRECHE;;AR-PR;VILA SANTA CRUZ (AR-PR);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1106;IND;;2621;1991;SRA. PREFEITA INTERCEDER JUNTO AO DEPARTAMENTO COMPETENTE PARA QUE A LINHA DE ÔNIBUS CIRCULAR - PERUS, SE ESTENDA ATÉ O JD. STA. CRUZ PERUS.;;LINHA DE ONIBUS 998P;;AR-PR;VILA SANTA CRUZ (AR-PR);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1149;IND;;2664;1991;SRA. PREFEITA LINHA DE TRANSPORTE COLETIVO DO JD. STA. FÉ ATÉ A ESTAÇÃO DE PERUS.;;TRANSPORTE COLETIVO URBANOLINHA DE ONIBUS/ESTACAO FERROVIARIA PERUS;;AR-PR;JARDIM SANTA FE (AR-PR);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1154;IND;;2669;1991;"SRA. PREFEITA LINHA DE ONIBUS 8537 MORRO GRANDE/PCA. DA REPUBLI CA: 1) FISCALIZACAO DE ORARIOS; 2) VELOCIDADE EXCESSIVA, BAIRRO MORRO GRANDE, AR/FO.";;CMTC/HORARIO DE ONIBUS/FISCALIZACAO DE TRANSITOLINHA DE ONIBUS 8537;;;VILA MORRO GRANDE;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1188;IND;;2703;1991;SRA. PREFEITA DENOMINAÇÃO DE FLAVIO IAZZETTI A UM LOGRADOURO LO CALIZADO NOS BAIRROS ÁGUA BRANCA OU MOÓCA.;;MOOCA/FLAVIO IAZZETTI/DENOMINACAO DE LOGRADOUROLOGRADOURO PUBLICO;;;AGUA BRANCA (BAIRRO);WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1204;IND;;6;1992;À SRA. PREFEITA ASSUNTO: INSTALAÇÃO E CONSTRUÇÃO DE BIBLIOTECA/ CENTRO CULTURAL NA REGIONAL DE CAMPO LIMPO, VISANDO ATENDER A CO MUNIDADE DE PARQUE ARARIBÁ, JARDIM IRIGÁ, PARQUE RÉGINA E JARDIM SÃO ROQUE.;;BIBLIOTECA PUBLICACENTRO CULTURAL;;AR-CL;PARQUE ARARIBA;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1274;IND;;76;1992;SRA. PREFEIT CONSTRUCAO DE CRECHE, JD. TOCA.;;CRECHE;;;JARDIM TOCA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1275;IND;;77;1992;SRA. PREFEITA CONSTRUCAO DE ESCOLA, JD. TOCA.;;ESCOLA MUNICIPALESCOLA PUBLICA;;;JARDIM TOCA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1276;IND;;78;1992;SRA. PREFEITA COSNTRUCAO DE POSTO DE SAUDE, JD. TOCA.;;POSTO DE ASSISTENCIA MEDICA - PAMPOSTO DE SAUDE;;;JARDIM TOCA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1336;IND;;138;1992;À SRA. PREFEITA ASSUNTO: PAVIMENTAÇÃO ASFÁLTICA, PARA A RUA PRICIPAL NO BAIRRO PARQUE NOVO MUNDO NA VILA CIDADE NOVA.;;LOGRADOURO PUBLICOPAVIMENTACAO;;AR-MG;PARQUE NOVO MUNDO;USHITARO KAMIA;PARTIDO DEMOCRATICO TRABALHISTA
1347;IND;;149;1992;SRA. PREFEITA CANALIZAÇÃO DE CÓRREGO, VILA MARA (PERTO DO VIADU TO JD. MAIA, JD. MARA, AR-SÃO MIGUEL PAULISTA.;;CANALIZACAO DE CORREGOVIADUTO;;AR-MP;JARDIM MARA;FAUSTO TOMAZ DE LIMA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1352;IND;;154;1992;À SRA. PREFEITA ASSUNTO: PROBLEMAS CAUSADO PELA REFERIDA USINA DE TRATAMENTO DE ESGÔTOS, LOCAL: AV. MARGINAL DO RIO TIÊTE,SENTI DO OSASCO PARA GUARULHOS, BAIRRO: VILA LEOPOLDINA-LAPA.;;LIXO/USINA DE COMPOSTAGEMMARGINAL DO RIO TIETE;;AR-LA;VILA LEOPOLDINA;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1367;IND;;169;1992;"TELESP INSTALAÇÃO DE UM TELEFONE ""FALE FÁCIL"" NO CLUBE DESPORTI VO MUNICIPAL ""DÉLIO DE CARVALHO"" À R.ANTONIO CEARA, 18-A, V.SÃO FRANCISCO.";;CDM DELIO DE CARVALHO/TELESPTELEFONE FALE FACIL;;;VILA SAO FRANCISCO (AR-MP;LUIZ CARLOS MORAES DE MOURA;PARTIDO COMUNISTA BRASILEIRO
1372;IND;;174;1992;AO PRESIDENTE DA SABESP ASSUNTO: IMPLANTAÇÃO DE REDE DE ÁGUA,NO PARQUE VEREDA, PROXIMIDADES DO JD. NÉLIA,JD. CAMARGO NOVO.;;PARQUE VEREDAS DO ITAIM/SABESPREDE DE AGUA;;AR-MP;JARDIM CAMARGO NOVO;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1378;IND;;180;1992;AO PRESIDENTE DA SABESP ASSUNTO: REGULARIZAÇÃO DO FORNECIMENTO DE ÁGUA, NO JD. CAMARGO NOVO.;;ABASTECIMENTO DE AGUASABESP;;;JARDIM CAMARGO NOVO;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1463;IND;;265;1992;À SRA. PREFEITA ASSUNTO: EFETIVAÇÃO DA LINHA DE ÔNIBUS NO. 819 17, JD.SHANGRILÁ PRAÇA PRINCESA ISABEL, QUE ESTÁ EM CARÁTER EXPERIMENTAL.;;LINHA DE ONIBUS 819HONIBUS;;;JARDIM SHANGRILA (AR-PJ);ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1466;IND;;268;1992;"À SRA. PREFEITA ASSUNTO: AMPLIAR O NÚMERO DE ÔNIBUS DAS LINHAS 6206 JD. D'ABRIL PRAÇA DA BANDEIRA; 6228 JD. D'ABRIL PRAÇA DA BANDEIRA (RIO PEUQENO) E 748-A JD. D'ABRIL LAPA.";;LINHA DE ONIBUS 6206/LINHA DE ONIBUS 748A/ONIBUSLINHA DE ONIBUS 6228;;;JARDIM D'ABRIL;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1467;IND;;269;1992;SRA. PREFEITA PROVIDÊNCIAS URGENTES NA USINA DE TRATAMENTO DE LIXO/VILA LEOPOLDINA NA AV.MARGINAL DO RIO TIETÊ, SENTIDO OSASCO P/GUARULHOS, VILA LEOPOLDINA, AR/LAPA.;;LIXO/USINA DE COMPOSTAGEMTRATAMENTO DE LIXO;;AR-LA;VILA LEOPOLDINA;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1475;IND;;277;1992;SRA. PREFEITA ILUMINAÇÃO PÚBLICA À RUA PARTICULAR, JD. NOVA GUA IANASES, GUAIANASES, AR/IQ.;;GUAIANASES/RUA PARTICULARILUMINACAO PUBLICA;;AR-IQ;JARDIM NOVA GUAIANASES;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1513;IND;;315;1992;EXMO.SR.SECRETÁRIO MUNICIPAL DE TRANSPORTES-SMT, PARA QUE PROVI DENCIE ESTUDOS VISANDO A IMPLANTAÇÃO DE UMA LINHA DE ÔNIBUS, COM PONTO INICIAL NO JD. PIRITUBA ATÉ O CENTRO DA CIDADE.;;LINHA DE ONIBUSSECRETARIA MUNICIPAL DE TRANSPORTES - SMT;;;JARDIM PIRITUBA;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1534;IND;;336;1992;À SRA. PREFEITA ASSUNTO: EXECUTAR A COLETA DE LIXO EM TODAS AS RUAS DO BAIRRO CHÁCARA SANTA MARIA, AR/CL.;;COLETA DE LIXO;;AR-CL;CHACARA SANTA MARIA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1570;IND;;372;1992;"SRA. PREFEITA ASFALTAMENTO DAS RUAS DO LOTEAMENTO ""ALTOS DE VILA PRUDENTE"".";;LOTEAMENTOPAVIMENTACAO;;;ALTOS DE VILA PRUDENTE;WALTER MEYER FELDMAN;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1615;IND;;417;1992;SRA. PREFEITA ESTUDOS PARA A CONSTRUCAO DE UMA CRECHE NO JD. PE RI (ALTO).;;CRECHE;;;JARDIM PERI;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1617;IND;;419;1992;SRA. PREFEITA ESTUDOS PARA A CONSTRUCAO DE UMA ESCOLA DE EDUCACAO INFANTIL NO JD. PERI (ALTO).;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-FO;JARDIM PERI;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1620;IND;;422;1992;SECRETARIO MUNICIPAL DE TRANSPORTES-SMT IMPLANTACAO DE UM PONTO DE LOTACAO LIGANDO A ESTACAO FERREA DE PERUS AO JD. ADELFIORE, NA VILA MALVINA.;;ESTACAO FERROVIARIA PERUS/PONTO DE LOTACAOLOTACAO (TRANSPORTE);;;JARDIM ADELFIORE;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
1658;IND;;460;1992;SABESP EXTENSAO DE REDE COLETORA DE ESGOTOS, JD. ORIENTAL.;;REDE DE ESGOTOSABESP;;;JARDIM ORIENTAL;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1659;IND;;461;1992;SABESP EXTENSAO DE REDE DE AGUA, JARDIM ORIENTAL.;;REDE DE AGUASABESP;;;JARDIM ORIENTAL;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1660;IND;;462;1992;SRA. PREFEITA CONSTRUCAO DE CRECHE, JD. ORIENTAL.;;CRECHE;;;JARDIM ORIENTAL;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1663;IND;;465;1992;SRA. PREFEITA CONSTRUCAO DE CRECHE, JD. OLINDA.;;CRECHE;;AR-CL;JARDIM OLINDA (AR-CL);ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1720;IND;;522;1992;À SRA. PREFEITA ASSUNTO: IMPLANTAÇÃO DE DUAS LINHAS DE ÔNIBUS NO JD. RIO PEQUENO, VILA DALVA, ADALGISA I, II, PARQUE DOS PRÍNCIPES E ADJACÊNCIAS.;;JARDIM RIO PEQUENOLINHA DE ONIBUS;;;JARDIM ADALGISA;PAULO SEITI KOBAYASHI;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1805;IND;;607;1992;SRA. PREFEITA MELHORIAS DEFINITIVAS NO JARDIM INGA.;;MELHORAMENTO URBANO;;;JARDIM INGA;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1814;IND;;616;1992;SRA. PREFEITA ASFALTO, ESGOTO, ILUMINACAO E CANALIZACAO DO COR REGO DAS RUAS TRES, DEZ, DOZE, CARLOS MATTIS E RUA ONZE, JD.TERE ZA, AR/FO.;;CANALIZACAO DE CORREGO/PAVIMENTACAO/REDE DE ESGOTOILUMINACAO PUBLICA;;;JARDIM TERESA (AR-FO);JOSE FERREIRA DO NASCIMENTO;PARTIDO PROGRESSISTA BRASILEIRO
1842;IND;;644;1992;SRA. PREFEITA IMPLANTACAO DE UMA ESCOLA DE 1O. GRAU NO JD. DO RUSSO, EM PERUS. .;;ESCOLA MUNICIPAL DE PRIMEIRO GRAUPERUS (DISTRITO);;;JARDIM DO RUSSO;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
