;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
3600;IND;;533;1993;AO SR. PRESIDENTE ASSUNTO: CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE PARA O JD. SÃO JOÃO, NO IGUATEMI.;;CENTRO DA JUVENTUDE;;AR-SM;JARDIM SAO JOAO (IGUATEMI;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3601;IND;;534;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, NO JD. SÃO JOÃO, NO IGUATEMI.;;CRECHE;;AR-SM;JARDIM SAO JOAO (IGUATEMI;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3608;IND;;541;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, PARA A VILA INGLESA, SANTO AMARO, AR-SA:;;CRECHE;;AR-SA;VILA INGLESA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3609;IND;;542;1993;AO SR. PREFEITO ASSUNTO: COSNTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA À VILA INGLESA, EM SANTO AMARO.;;CENTRO DA JUVENTUDE;;AR-SA;VILA INGLESA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3611;IND;;544;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA JD. DOS EUCALIPTOS, EM STO AMARO.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTILSANTO AMARO;;AR-SA;JARDIM DOS EUCALIPTOS (AR;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3612;IND;;545;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM POSTO DE SAÚDE, PARA O JARDIM DOS EUCALIPTOS, EM STO AMARO.;;POSTO DE SAUDESANTO AMARO;;AR-SA;JARDIM DOS EUCALIPTOS (AR;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3613;IND;;546;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE,PARA O JARDIM DOS EUCALIPTOS, EM STO AMARO.;;CRECHESANTO AMARO;;AR-SA;JARDIM DOS EUCALIPTOS (AR;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3616;IND;;549;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE,PARA OS MORADORES DA VILA VERA, NA PENHA.;;CRECHE;;AR-PE;VILA VERA (AR-PE);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3617;IND;;550;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DO CORRÊGO FRANQUINHO OU SANTA LUIZA, QUE PASSA NA VILA VERA, PENHA.;;CANALIZACAO DE CORREGOCORREGO TIQUATIRA;;AR-PE;VILA VERA (AR-PE);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3620;IND;;553;1993;SR. PREFEITO IMPLANTANÇÃO DE UM SACOLÃO DA PREFEITURA PARA A V. ITAIM, EM ITAIM PAULISTA, AR/MP;;ITAIM PAULISTASACOLAO;;AR-MP;VILA ITAIM;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3621;IND;;554;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA A VILA ITAIM, EM ITAIM PAULISTA, AR/MP;;CENTRO DA JUVENTUDEITAIM PAULISTA;;AR-MP;VILA ITAIM;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3642;IND;;575;1993;AO SR. PREFEITO ASSUNTO:IMPLANTAÇÃO DE UMA LINHA DE ÔNIBUS CIRCULAR PARA VILA CAMPESTRE, CIDADE ADEMAR, JARDIM MÍRIM.;;JARDIM MIRIAM (AR-VM)/ONIBUS CIRCULARLINHA DE ONIBUS;;;CIDADE ADEMAR;PAULO ROBERTO FARIA LIMA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
3665;IND;;598;1993;AO SR. PREFEITO ASSUNTO: DESMEMBRAMENTO DA ÀREA, DO JARDIM DOS EUCALIPTOS,EM SANTO.;;LOTEAMENTOTERRAS FEDERAIS;;AR-SA;JARDIM DOS EUCALIPTOS (AR;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3705;IND;;638;1993;SR. PREFEITO CANALIZAÇÃO DO CÓRREGO DA RAPADURA, QUE TÊM INÍCIO NO JD. TEXTIL, NA V.FORMOSA E TERMINA NO RIO ARICANDUVA, AR/MO;;CANALIZACAO DE CORREGOCORREGO RAPADURA;;AR-MO;VILA FORMOSA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3712;IND;;645;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA O PARQUE SANTA MADALENA, SAPOPEMBA, AR/VP;;CENTRO DA JUVENTUDESAPOPEMBA;;AR-VP;PARQUE SANTA MADALENA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3713;IND;;646;1993;SR. PREFEITO CONSTRUÇÃO DE UMA CRECHE, PARA O PARQUE SANTA MADA LENA, NO SAPOPEMBA, AR/VP;;CRECHESAPOPEMBA;;AR-VP;PARQUE SANTA MADALENA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3728;IND;;661;1993;SR. PREFEITO CANALIZAÇÃO DO CÓRREGO PONTE RASA, VILA BUENOS AIRES, AR/PENHA;;CANALIZACAO DE CORREGOCORREGO PONTE RASA;;AR-PE;VILA BUENOS AIRES (AR-PE);DALMO PESSOA DE ALMEIDA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
3753;IND;;686;1993;SR. GOVERNADOR DO ESTADO DE SÃO PAULO CONSTRUÇÃO DE ESCOLA DE PRIMEIRO E SEGUNDO GRAUS, JD. LAPENA, - AR/S.MIGUEL PAULISTA;;ESCOLA MUNICIPAL DE PRIMEIRO E SEGUNDO GRAUS;;AR-MP;JARDIM LAPENA;DALMO PESSOA DE ALMEIDA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
3803;IND;;736;1993;SR. PREFEITO / CANALIZACAO DO RIO TABOAO, RIO TABOAO, VILA ANTONI ETA, AR/MOOCA;;CANALIZACAO DE CORREGOCORREGO TABOAO;;AR-MO;VILA ANTONIETA (AR-MO);JOSE FERREIRA DO NASCIMENTO;PARTIDO PROGRESSISTA BRASILEIRO
3842;IND;;775;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE NA RE GIÃO DOS BAIRROS JARDIM S. ROBERTO, ALTOS DE VILA PRUDENTE, VILA CARDOSO FRANCO E CONJ. JAÚ, A.R. DE VILA PRUDENTE.;;JARDIM SAO ROBERTOPOSTO DE SAUDE;;AR-VP;ALTOS DE VILA PRUDENTE;ARCHIBALDO FENICIO ZANCRA;PARTIDO LIBERAL
3905;IND;;838;1993;"SABESP REDE DE ÁGUAS E ESGOTOS NO JD. DA CONQUISTA, CONHECIDO COMO ""SITIÃO DO CARRÃOZINHO""";;REDE DE AGUA/SABESPREDE DE ESGOTO;;AR-SM;JARDIM DA CONQUISTA;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
3937;IND;;870;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA O JD. FANGANIELLO, EM GUAIANAZES.;;CENTRO DA JUVENTUDE;;AR-IQ;JARDIM FANGANIELLO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3946;IND;;879;1993;AO SR. PREFEITO ASSUNTO: REABERTURA DO HOSPITAL PILOTO, DO JD. CAMPOS ITAIM PAULISTA.;;HOSPITAL;;AR-MP;JARDIM CAMPOS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3951;IND;;884;1993;AO SR. PREFEITO ASSUNTO:IMPLANTAÇÃO DE UM SACOLÃO NO JD. CAMPOS PARA PODER ATENDER TODOS BAIRROS VIZINHOS, JD. IPÊ, JD. BARTIRA.;;ITAIM PAULISTA/SACOLAOJARDIM CAMPOS;;;JARDIM BARTIRA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3952;IND;;885;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA O JD. CAMPOS, ITAIM PAULISTA.;;CENTRO DA JUVENTUDEITAIM PAULISTA;;AR-MP;JARDIM CAMPOS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
3953;IND;;886;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM POSTO POLICIAL, PARA O JD. CAMPOS EM ITAIM PAULISTA.;;ITAIM PAULISTAPOSTO POLICIAL;;AR-MP;JARDIM CAMPOS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4012;IND;;945;1993;SR. PREFEITO IMPLANTAÇÃO DE UMA CRECHE NO BAIRRO DE V.MEDEIROS, AR/VM-VG;;CRECHE;;AR-MG;VILA MEDEIROS;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
4095;IND;;1028;1993;SR. PREFEITO IMPLANTAÇÃO DE LINHA DE ONIBUS, ENTRE O JD. SÃO LU IS E A CIDADE UNIVERSITÁRIA, JD. SÃO LUIS, AR/CL;;JARDIM SAO LUIS (AR-CL)LINHA DE ONIBUS;;;CIDADE UNIVERSITARIA;MARIO POERNER DIAS FERNANDES;DEMOCRATAS
4156;IND;;1089;1993;AO SR. PREFEITO ASSUNTO:IMPLANTAÇÃO DE UM SACOLÃO NA VILA DIVA.;;SACOLAO;;AR-MO;VILA DIVA (AR-MO);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4163;IND;;1096;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DO CÔRREGO UBERABA, NA VILA PRIMAVERA SAPOPEMBA.;;CANALIZACAO DE CORREGOCORREGO TABOAO;;AR-VP;VILA PRIMAVERA (AR-VP);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4165;IND;;1098;1993;AO SR. PREFEITO ASSUNTO:IMPLANTAÇÃO DE UM SACOLÃOPARA O JARDIM SÃO JORGE, EM STO AMARO.;;SACOLAO;;AR-SA;JARDIM SAO JORGE (AR-SA);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4174;IND;;1107;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DE CÓRREGO, LOCAL: ENTRE A RUA VISCOME DE BALSEMÃO E AV. ARICANDUVA, BAIRO: VILA ANTONINA.;;CANALIZACAO DE CORREGO/URBANIZACAOCORREGO RAPADURA;;AR-MO;VILA ANTONINA;EMILIO MENEGHINI;PARTIDO PROGRESSISTA BRASILEIRO
4176;IND;;1109;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO, LOCAL: CÓRREGO IPIRANGUINHA, BAIRRO: VILA CRUZEIRO VILA FORMOSA.;;CANALIZACAO DE CORREGOCORREGO IPIRANGUINHA;;AR-VP;VILA CRUZEIRO (AR-VP);EMILIO MENEGHINI;PARTIDO PROGRESSISTA BRASILEIRO
4367;IND;;1300;1993;AO SR. PREFEITO CONSTRUÇÃO DE CRECHE NO JARDIM GRAÚNA AR-CAPE LA DO SOCORRO.;;CRECHE;;AR-CS;JARDIM GRAUNA;DALMO PESSOA DE ALMEIDA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
4381;IND;;1314;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE ESCOLA DE PROIMEIRO GRAU LOCAL: JD. GRAÚNA, BAIRRO: JARDIM GRAÚNA.;;ESCOLA MUNICIPAL DE PRIMEIRO GRAU;;AR-CS;JARDIM GRAUNA;DALMO PESSOA DE ALMEIDA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
4423;IND;;1356;1993;SR. PREFEITO IMPLANTAÇÃO DE LINHA DE ÔNIBUS COM PONTO INICIAL E FINAL NO PARQUE CRUZEIRO DO SUL, E QUE VÁ ATÉ O TERMINAL BRES SER, PASSANDO POR ERMELINO MATARAZZO E PENHA, AR/MP;;ERMELINO MATARAZZO/ESTACAO DE METRO BRESSER/PENHALINHA DE ONIBUS;;;PARQUE CRUZEIRO DO SUL (A;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
4537;IND;;1470;1993;SR. PREFEITO IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL PARA OS MORADO RES DA V.CLARA, JABAQUARA;;SACOLAOJABAQUARA;;AR-VM;VILA CLARA (AR-VM);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4538;IND;;1471;1993;SR. PREFEITO CONSTRUÇÃO DE UM VELÓRIO MUNICIPAL, PARA O PQ. EDU CHAVES;;VELORIO MUNICIPAL;;AR-MG;PARQUE EDU CHAVES;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4548;IND;;1481;1993;SR. PREFEITO IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA JD. MARI LENE, GUAIANAZES;;SACOLAOGUAIANASES;;AR-IQ;VILA MARILENA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4557;IND;;1490;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA JD. SÃO JORGE, STO AMARO.;;SACOLAO;;AR-SA;JARDIM SAO JORGE (AR-SA);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
4570;IND;;1503;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE DISTRITO POLICIAL,LOCAL: BAIRRO JD. POPULAR.;;DISTRITO POLICIAL;;AR-PE;JARDIM POPULAR;ANTONIO DE PAIVA MONTEIRO Fo.;PARTIDO DA REPÚBLICA
4712;IND;;1645;1993;SR. PREFEITO CANALIZAÇÃO DE CÓRREGO NO CÓRREGO UBERABA (FINAL DA RUA SANTO ADON) NO JD. COLORADO - V. FORMOSA;;CORREGO TABOAOCANALIZACAO DE CORREGO;;AR-VP;JARDIM COLORADO;EMILIO MENEGHINI;PARTIDO PROGRESSISTA BRASILEIRO
4927;IND;;1860;1993;AO SR. PREFEITO ASSUNTO: EXECUTAR A CONCLUSÃO DA OBRA DO MERCADO MUNICIPAL DE CACHOEIRINHA.;;OBRAS PUBLICASMERCADO MUNICIPAL DE VILA NOVA CACHOEIRINHA;;AR-FO;VILA NOVA CACHOEIRINHA;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
4962;IND;;1895;1993;SR. PREFEITO INCLUSÃO NO CURRÍCULO DA REDE ESCOLAR DO MUNICÍPIO DE SÃO PAULO, VISITAS AO MENOS UMA VEZ POR ANO AO ZOOLÓGICO, AO INSTITUTO BUTANTÃ, AO PLANETÁRIO, AOS MUSEUS E OUTRAS ATIVIDADES CULTURAIS;;ATIVIDADE CULTURAL/CURRICULO ESCOLARENSINO MUNICIPAL/INSTITUTO BUTANTA;;;JARDIM ZOOLOGICO;EDIVALDO ALVES ESTIMA;PARTIDO POPULAR SOCIALISTA
4970;IND;;1903;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO BELENZINHO CHÁCARA TATUAPÉ.;;POSTO DE SAUDEBELENZINHO;;AR-MO;CHACARA TATUAPE;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4971;IND;;1904;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO TATUAPÉVILA GOMES CARDIM.;;TATUAPEPOSTO DE SAUDE;;AR-MO;VILA GOMES CARDIM;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4972;IND;;1905;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO ÁGUA RASA-VILA RIO BRANCO.;;POSTO DE SAUDEAGUA RASA (BAIRRO);;AR-MO;VILA RIO BRANCO (AR-MO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4973;IND;;1906;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO VILA PRU DENTE -PQ.DA MOOCA.;;POSTO DE SAUDE;;AR-MO;PARQUE DA MOOCA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4974;IND;;1907;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO DE VILA MATILDE-VILA GUILHERMINA.;;VILA GUILHERMINAPOSTO DE SAUDE;;AR-PE;VILA MATILDE;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4975;IND;;1908;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE -DISTRITO PENHA VILA RÉ.;;POSTO DE SAUDEPENHA;;AR-PE;VILA RE;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4976;IND;;1909;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE -DISTRITO DE VILA CURUÇA -JD.DOS IPÊS.;;POSTO DE SAUDEVILA CURUCA;;AR-MP;JARDIM DOS IPES;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4977;IND;;1910;1993;AO SR.PREFEITO -INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO ITAIM PAU LISTA-VILA ITAIM.;;POSTO DE SAUDEITAIM PAULISTA;;AR-MP;VILA ITAIM;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4978;IND;;1911;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE -DISTRITO SÃO MI GUEL PQ.PAULISTANO.;;SAO MIGUEL (DISTRITO)POSTO DE SAUDE;;AR-MP;PARQUE PAULISTANO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4979;IND;;1912;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO SÃO MIGU EL -VILA ROSÁRIO-;;SAO MIGUEL (DISTRITO)POSTO DE SAUDE;;AR-MP;VILA ROSARIA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4980;IND;;1913;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO IGUATEMI JD.IGUATEMI.;;POSTO DE SAUDEIGUATEMI (DISTRITO);;AR-SM;JARDIM IGUATEMI;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4982;IND;;1915;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO GRAJAÚPQ.AMÉRICO.;;POSTO DE SAUDEGRAJAU (DISTRITO);;AR-CS;PARQUE AMERICA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4983;IND;;1916;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE- DISTRITO CIDADE DU TRA .;;CIDADE DUTRAPOSTO DE SAUDE;;AR-CS;CIDADE DUTRA (DISTRITO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4984;IND;;1917;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO CIDADE ADEMAR -CIDADE JULIA.;;POSTO DE SAUDECIDADE ADEMAR (DISTRITO);;AR-VM;CIDADE JULIA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4985;IND;;1918;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO VILA MARIANA -JD.VILA MARIANA-;;POSTO DE SAUDEVILA MARIANA (DISTRITO);;AR-VM;JARDIM VILA MARIANA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4986;IND;;1919;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO IPIRANGA VILA DOM PEDRO I.;;POSTO DE SAUDEIPIRANGA (DISTRITO);;AR-IP;VILA DOM PEDRO I;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4987;IND;;1920;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO ITAIM BI BI CIDADE MONÇÕES.;;ITAIM BIBI (DISTRITO)POSTO DE SAUDE;;AR-SA;CIDADE MONCOES;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
4988;IND;;1921;1993;AO SR.PREFEITO INSTALAÇÃO DE POSTO DE SAÚDE - DISTRITO SAÚDE VILA AFONSO CELSO.;;VILA AFONSO CELSOPOSTO DE SAUDE;;AR-VM;VILA MARIANA (DISTRITO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5006;IND;;1939;1993;SR. PREFEITO LIMPEZAS DE MATOS ALTOS, AOS REDORES DOS CÓRREGOS: CÓRREGO RIBEIRÃO ORATÓRIO, CÓRREGO ÁGUAS VERMELHAS;;CORREGO ORATORIO/CAPINACORREGO AGUA VERMELHA (AR-VP);;AR-VP;VILA INDUSTRIAL;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5015;IND;;1948;1993;SR. PREFEITO CANALIZAÇÃO DO CÓRREGO SÃO JOÃO, V.SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA;;CORREGO SAO JOAO/ITAIM PAULISTACANALIZACAO DE CORREGO;;;VILA SANTANA DO AGRESTE;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5017;IND;;1950;1993;SR. PREFEITO LIMPEZAS DOS CÓRREGOS: CÓRREGO DAS ÁGUAS VERMELHAS CÓRREGO RIBEIRÃO ORATÓRIO;;CORREGO AGUA VERMELHA (AR-VP)/CORREGO ORATORIOLIMPEZA DE CORREGO;;AR-VP;VILA INDUSTRIAL;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5019;IND;;1952;1993;SR. PREFEITO DESRATIZAÇÃO DOS CÓRREGOS: CÓRREGO ÁGUAS VERMELHAS CÓRREGO RIBEIRÃO ORATÓRIO;;DESRATIZACAO/CORREGO AGUA VERMELHA (AR-VP)CORREGO ORATORIO;;AR-VP;VILA INDUSTRIAL;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5028;IND;;1961;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA V.SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA;;ITAIM PAULISTACENTRO DA JUVENTUDE;;AR-MP;VILA SANTANA DO AGRESTE;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5030;IND;;1963;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, PARA VILA SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA.;;ITAIM PAULISTACRECHE;;AR-MP;VILA SANTANA DO AGRESTE;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5031;IND;;1964;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFALTIL PARA À VILA SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA.;;ITAIM PAULISTAESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-MP;JARDIM CAMARGO VELHO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5039;IND;;1972;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM POSTO DE SAÚDE, PARA PODER ATENDER OS MORADORES DO JD, MARILENE, EM GUAIANAZES.;;POSTO DE SAUDEGUAIANASES;;AR-IQ;VILA MARILENA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5045;IND;;1978;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA PODER ATENDER OS MORADORES DO JD. AEROPORTO.;;SACOLAO;;AR-VM;JARDIM AEROPORTO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5094;IND;;2027;1993;SR. PREFEITO ASFALTAMENTO DAS RUAS DO JD. MARILENE EM GUAIANAZES;;PAVIMENTACAOGUAIANASES;;AR-IQ;VILA MARILENA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5108;IND;;2041;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA E MANUTENÇÃO DE TODOS OS SEMÁFOROS DAS REGIÕES DE VILA GUILHERME, ALT. DE VILA MARIA E PARQUE NOVO MUNDO.;;MANUTENCAO DE SEMAFOROSEMAFORO;;;PARQUE NOVO MUNDO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
5117;IND;;2050;1993;AO SR. PRESIDENTE DA C.M.T.C., SOLICITANDO IMPLANTAÇÃO DE UMA LIN HA DE ÔNIBUS, PARA O JARDIM PAULISTA II.;;LINHA DE ONIBUS;;;JARDIM PAULISTANO II;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
5122;IND;;2055;1993;SR. PREFEITO MUDANÇA DA USINA DE COMPOSTAGEM DE LIXO DA V.LEO POLDINA, PARA OUTRO LOCAL MAIS ADEQUADO;;USINA DE COMPOSTAGEMMUDANCA DE LOCAL;;;VILA LEOPOLDINA;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
5136;IND;;2069;1993;SR. PREFEITO CONSTRUÇÃO DE UMA ÁREA DE LAZER NAS PROXIMIDADES DO CEMITERIO DE V.N.CACHOEIRINHA, BAIRRO DE CASA VERDE ALTA, AR/ FÓ;;CEMITERIO VILA NOVA CACHOEIRINHAAREA DE LAZER;;AR-FO;VILA NOVA CACHOEIRINHA;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
5175;IND;;2108;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA DO CÓRREGO RIACHO DOS MACHADOS JD. ITAPÓLIS.;;RIACHO DOS MACHADOSLIMPEZA DE CORREGO;;AR-SM;JARDIM ITAPOLIS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
5176;IND;;2109;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DO CORREGO RIACHO DOS MACHADOS, JD. ITAPÓLIS.;;RIACHO DOS MACHADOSCANALIZACAO DE CORREGO;;AR-SM;JARDIM ITAPOLIS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
