;0;1
350; R. (PIRITUBA);1
351; REG.;1
352; R.PIETRO NARDINI;1
353; R. (CIDADE D'ABRIL)DOIS;1
354; R.DOMINGOS GONCALO;1
355; R.ALCEU ANTONIO DA LUZ;1
356; AV.GUAIMI;1
357; PQ. DO;1
358; PC.NOVE DE JULHO;1
359; AV.DELEGACIA SECCIONAL DE POLICIA TEOTONIO VILELA;1
360; 8.;1
361; ESTR. DO (AR-ST);1
362; R. (JARDIM FONTALIS);1
363; AV.BROOK TAYLOR;1
364; AV.JUNTAS PROVISORIAS;1
365; R. DAS;1
366; R.PIMPINELA;1
367; R.CONJUNTO HABITACIONAL TEOTONIO VILELA;1
368; AV.HERMETO LIMA;1
369; R. (CONJUNTO HABITACIONAL CID. TIRADENTES);1
370; R.EEPSG PROF. ORESTES ROSOLIACONJUNTO RESIDENCIAL PE. MANUEL DA NOBREGA;1
371; R.SAMUEL GRACIE;1
372; EMB.;1
373; R. (AR-PE);1
374; ROD.FERNAO DIAS;1
375; AV.NOSSA SENHORA DO OUTEIRO;1
376; R. (PARQUE SEVILHA);1
377; R.JOSE INOCENCIO DA COSTA;1
378; R.PROTEO;1
379; AV.MANDAGUARI;1
380; R. (JARDIM PERI);1
381; R.ITABERABA;1
382; R.ITUVERAVA;1
383; PRINCIPE DA;1
384; R.SEIS;1
385; R.JOAO RICARDO;1
386; R.TULIPA DA AFRICA;1
387; R.(CONJ.M.MORAIS);1
388; R.PRATA DO PIAUI;1
389; R.JOSE DOS REIS;1
390; R.GONCALO CAVALCANTI;1
391; R.JOAO MARIA OGNO;1
392; R.GERALDA MARIA DE JESUS SANTOS;1
393; R.ULISSES COUTINHO;1
394; R.JOSE MASCARENHAS;1
395; R. (JARDIM MADALENA II)RAUL DE AZEVEDO;1
396; VL. (CIDADE SATELITE SANTA BARBARA);1
397; AV.CONJUNTO RESIDENCIAL SANTO ANTONIO;1
398; R.ROMEU PELLEGRINI;1
399; R.JOSE G. R. ALCKMIN;1
400; R.SAMPAIO CORREIA;1
401; R.PERA D'AGUA;1
402; VL. (JARDIM ANGELA/AR-CL);1
403; AV.EMPG GEN. VICENTE PAULO DALLE COUTINHO;1
404; R.CHA;1
405; VD. DOANHANGABAU;1
406; R.ZEFERINO DO CARMO;1
407; SP;1
408; AV.JOAO AMADO COUTINHO;1
409; R.DUARTE LEOPOLDO;1
410; AV.EMPG MAR. ESPERIDIAO ROSA;1
411; R.RIO BONITO;1
412; R.EMPG ROQUETE PINTO;1
413; R.MANGUABA;1
414; R.ITAQUI;1
415; AV.BOMBEIROS;1
416; VD.RUDGE;1
417; R.JOAQUIM DA COSTA PENHA;1
418; R. DAFAVELA DA CIDADE A. E. CARVALHO I;1
419; R.EMILIO CARLOS;1
420; R.JOAO DAS NEVES;1
421; R. DOARUNTA;1
422; R.CONJUNTO HABITACIONAL INACIO MONTEIRO;1
423; R. (JARDIM JARAGUA/AR-PR)DEZESSETE;1
424; R.OLIVEIRA MELO;1
425; R.CAETANO NOGUEIRA DA COSTA;1
426; R.JOSE BERNALDEZ;1
427; R.LINS DE BARROS;1
428; R.APORE;1
429; R.MARQUES RIBEIRO;1
430; R.NESTOR SILVA;1
431; R.SERRA DE BRAGANCA;1
432; R.CORREIA DE MELO;1
433; R. DASOLON;1
434; R. (AR-SE)JAVAES;1
435; AV.JORNADA DA PARAIBA;1
436; R.ESTRELA FUGAZ;1
437; TR. DA;1
438; AV.MARIA HELENA BORELLI PALMA;1
439; PC.MERCEDES LOPES;1
440; R.LEONILDA MAGRINI;1
441; R.HENRIQUE MARTINS;1
442; AV.ATALIBA LEONEL;1
443; PTE. DABRAS LEME;1
444; AV.CONJUNTO RESIDENCIAL BRIG. FARIA LIMABELMIRA MARIN;1
445; R.JAN LAND;1
446; AV.CANOBIM;1
447; R.OITO;1
448; VL. (JARDIM SANTA CRUZ/AR-FO);1
449; R.ARLINDO VIEIRA;1
450; AV.LAGES;1
451; R.CASPER LIBERO;1
452; AV.MAUA;1
453; R.BOSCHETTI;1
454; R.SILVERIO GONCALVES;1
455; R. (JARDIM APURA);1
456; R.MARACAI;1
457; R.INHANGAPI;1
458; AV.FRANCISCO ROJAS;1
459; R.HENRY CHARLES POTEL;1
460; R.QUATORZE;1
461; AV.JOAO GOULART;1
462; R. PART. (CHACARA COCAIA)TRINTA E DOIS;1
463; R. PART. (CHACARA COCAIA);1
464; R.ESTANISLAU DE CAMPOS;1
465; AV.CONJUNTO RESIDENCIAL PE. MANUEL DA NOBREGA;1
466; VL. (VILA LIVIERO);1
467; R.QUINZE;1
468; R. (JARDIM CANAA)QUATRO;1
469; AV.LUIS DUMONT VILARES;1
470; AV.TUCURUVI;1
471; AV.FERNAO DIAS;1
472; R.SILVEIRANIA;1
473; R. (AR-CS);1
474; R.BAIA DE SANTA CLARA;1
475; R. (CIDADE D'ABRIL)DEZESSEIS;1
476; CAMINHO (JARDIM FLAMENGO);1
477; R.NEVIO BARACHO DOS SANTOS;1
478; 2. SARG.;1
479; VL. (JARDIM RINCAO);1
480; R.CACHOEIRA DAS SETE QUEDAS;1
481; R.MASSAU;1
